GSE15533	Sakai chlorine / control...	0.828
z2057	z2057	9.263	0.162
ecs1778	ecs1778	9.814	0.164
z2058	z2058	9.814	0.164
ecs1781	ecs1781		
ecs1782	ecs1782		
ecs1783	ecs1783		
ecs1784	ecs1784		
ecs1785	ecs1785		
ecs1786	ecs1786		
ecs1788	ecs1788		
ecs1789	ecs1789		
ecs1791	ecs1791		
ecs1792	ecs1792		
ecs1793	ecs1793		
ecs1795	ecs1795		
ecs1796	ecs1796		
ecs1797	ecs1797		
ecs1798	ecs1798		
ecs1799	ecs1799		
ecs1800	ecs1800	9.575	-0.084
ecs1801	ecs1801		
ecs1802	ecs1802		
ecs1803	ecs1803		
ecs1804	ecs1804		
ecs1805	ecs1805	9.315	-0.092
z1914	z1914	9.315	-0.092
ecs1806	ecs1806		
ecs1807	ecs1807		
ecs1808	ecs1808		
ecs1809	ecs1809		
ecs1813	ecs1813	8.861	0.209
z6022	z6022	8.861	0.209
ecs1816	ecs1816	9.117	0.202
z6019	z6019	9.117	0.202
ecs1818	ecs1818		
ecs1819	ecs1819		
ecs1820	ecs1820		
ecs1821	ecs1821	8.931	0.070
ecs1825	ecs1825	10.746	-1.486
z2565	z2565	10.746	-1.486
ecs1827	ecs1827	6.007	0.264
z2561	z2561	6.007	0.264
ecs1828	ecs1828	9.124	0.649
z2560	z2560	9.124	0.649
ecs1831	ecs1831	9.092	0.069
b1259	b1259	9.092	0.069
z2553	z2553	9.092	0.069
ecs1832	ecs1832	9.182	0.395
c1725	c1725	9.182	0.395
z2551	z2551	9.182	0.395
b1260	b1260	9.182	0.395
ecs1833	ecs1833	9.046	0.503
z2550	z2550	9.046	0.503
b1261	b1261	9.046	0.503
ecs1835	ecs1835	8.644	-0.038
z2548	z2548	8.644	-0.038
ecs1837	ecs1837	9.735	0.114
b1265	b1265	9.735	0.114
z2545	z2545	9.735	0.114
c5494	c5494	9.735	0.114
ecs1840	ecs1840	9.183	0.241
z2542	z2542	9.183	0.241
ecs1843	ecs1843	9.666	0.174
b1271	b1271	9.666	0.174
z2539	z2539	9.666	0.174
c1736	c1736	9.666	0.174
ecs1844	ecs1844	9.745	-0.070
c1737	c1737	9.745	-0.070
z2538	z2538	9.745	-0.070
b1272	b1272	9.745	-0.070
ecs1845	ecs1845	10.879	0.097
b1273	b1273	10.879	0.097
c1739	c1739	10.879	0.097
z2537	z2537	10.879	0.097
ecs1849	ecs1849	9.400	0.392
z2532	z2532	9.400	0.392
c1745	c1745	9.400	0.392
b1276	b1276	9.400	0.392
ecs1850	ecs1850	10.064	0.173
b1277	b1277	10.064	0.173
c1746	c1746	10.064	0.173
z2531	z2531	10.064	0.173
ecs1852	ecs1852	10.311	0.043
c1748	c1748	10.311	0.043
z2528	z2528	10.311	0.043
b1279	b1279	10.311	0.043
ecs1855	ecs1855	10.428	-0.465
b1282	b1282	10.428	-0.465
c1751	c1751	10.428	-0.465
z2524	z2524	10.428	-0.465
ecs1859	ecs1859	10.751	-0.569
z2514	z2514	10.751	-0.569
b1286	b1286	10.751	-0.569
c1757	c1757	10.751	-0.569
ecs1864	ecs1864		
ecs1865	ecs1865		
ecs1866	ecs1866		
ecs1871	ecs1871	9.822	-0.295
z2494	z2494	9.822	-0.295
b1294	b1294	9.822	-0.295
ecs1874	ecs1874	8.999	0.202
b1297	b1297	8.999	0.202
z2491	z2491	8.999	0.202
ecs1875	ecs1875	9.424	0.185
z2490	z2490	9.424	0.185
b1298	b1298	9.424	0.185
ecs1876	ecs1876	8.336	0.168
b1299	b1299	8.336	0.168
z2489	z2489	8.336	0.168
ecs1881	ecs1881	9.404	0.521
b1304	b1304	9.404	0.521
c1774	c1774	9.404	0.521
z2482	z2482	9.404	0.521
ecs1890	ecs1890	8.601	0.122
b1311	b1311	8.601	0.122
z2472	z2472	8.601	0.122
c1783	c1783	8.601	0.122
ecs1892	ecs1892	9.538	0.091
b1313	b1313	9.538	0.091
z2470	z2470	9.538	0.091
ecs1894	ecs1894	9.911	-0.054
z2468	z2468	9.911	-0.054
b1315	b1315	9.911	-0.054
ecs1895	ecs1895	8.261	0.229
b1316	b1316	8.261	0.229
z2467	z2467	8.261	0.229
ecs1897	ecs1897		
ecs1899	ecs1899	9.122	-0.314
z2461	z2461	9.122	-0.314
ecs1904	ecs1904	8.858	0.282
z2450	z2450	8.858	0.282
c1797	c1797	8.858	0.282
b1325	b1325	8.858	0.282
ecs1905	ecs1905	9.230	0.200
z2448	z2448	9.230	0.200
c5735	c5735	9.230	0.200
b1326	b1326	9.230	0.200
ecs1912	ecs1912	8.631	-0.068
b1330	b1330	8.631	-0.068
c1804	c1804	8.631	-0.068
z2437	z2437	8.631	-0.068
ecs1915	ecs1915	10.827	-0.036
c1807	c1807	10.827	-0.036
b1334	b1334	10.827	-0.036
z2433	z2433	10.827	-0.036
ecs1916	ecs1916	9.590	0.233
z2432	z2432	9.590	0.233
b1335	b1335	9.590	0.233
c1808	c1808	9.590	0.233
ecs1917	ecs1917	9.303	0.246
ecs1918	ecs1918		
ecs1919	ecs1919		
ecs1920	ecs1920		
ecs1922	ecs1922	9.533	0.228
b1338	b1338	9.533	0.228
z2425	z2425	9.533	0.228
ecs1925	ecs1925	9.557	0.217
c1815	c1815	9.557	0.217
b1341	b1341	9.557	0.217
z2421	z2421	9.557	0.217
ecs1927	ecs1927	9.217	-0.027
b1343	b1343	9.217	-0.027
z2417	z2417	9.217	-0.027
c1817	c1817	9.217	-0.027
ecs1930	ecs1930	9.479	0.160
b1346	b1346	9.479	0.160
ecs1931	ecs1931	9.636	0.217
b1347	b1347	9.636	0.217
ecs1933	ecs1933	9.611	0.329
b1349	b1349	9.611	0.329
ecs1934	ecs1934	9.345	0.235
b1350	b1350	9.345	0.235
ecs1935	ecs1935	9.738	0.070
b1351	b1351	9.738	0.070
ecs1936	ecs1936	9.103	-0.024
b1352	b1352	9.103	-0.024
ecs1939	ecs1939	8.456	0.073
b4527	b4527	8.456	0.073
ecs1940	ecs1940	8.584	0.219
b1355	b1355	8.584	0.219
ecs1941	ecs1941	9.730	0.089
ecs1943	ecs1943	9.402	0.180
z2398	z2398	9.402	0.180
ecs1945	ecs1945	9.124	0.226
z2396	z2396	9.124	0.226
ecs1946	ecs1946		
ecs1947	ecs1947	7.986	-0.122
ecs1948	ecs1948	8.733	0.385
z2394	z2394	8.733	0.385
ecs1951	ecs1951	9.300	0.189
z2391	z2391	9.300	0.189
ecs1952	ecs1952	9.637	0.191
z2390	z2390	9.637	0.191
ecs1955	ecs1955	10.008	-0.944
z2386	z2386	10.008	-0.944
ecs1957	ecs1957	8.813	0.040
ecs1958	ecs1958		
ecs1960	ecs1960		
ecs1961	ecs1961		
ecs1962	ecs1962	8.595	-0.002
ecs1963	ecs1963		
ecs1964	ecs1964		
ecs1965	ecs1965		
ecs1966	ecs1966		
ecs1967	ecs1967		
ecs1968	ecs1968		
ecs1970	ecs1970		
ecs1971	ecs1971		
ecs1972	ecs1972		
ecs1974	ecs1974		
ecs1975	ecs1975		
ecs1976	ecs1976		
ecs1977	ecs1977		
ecs1978	ecs1978		
ecs1979	ecs1979		
ecs1980	ecs1980		
ecs1981	ecs1981		
ecs1982	ecs1982		
ecs1983	ecs1983	10.005	0.109
ecs1984	ecs1984		
ecs1985	ecs1985		
ecs1986	ecs1986		
ecs1987	ecs1987		
ecs1988	ecs1988		
ecs1989	ecs1989		
ecs1990	ecs1990		
ecs1992	ecs1992		
ecs1993	ecs1993		
ecs1994	ecs1994		
ecs1995	ecs1995		
ecs1996	ecs1996		
ecs2000	ecs2000	9.449	0.165
z2332	z2332	9.449	0.165
b1378	b1378	9.449	0.165
ecs2003	ecs2003	9.210	0.083
z2328	z2328	9.210	0.083
ecs2005	ecs2005	8.795	0.087
z2326	z2326	8.795	0.087
ecs2006	ecs2006	8.450	-0.142
ecs2007	ecs2007		
ecs2009	ecs2009	7.817	0.435
z2320	z2320	7.817	0.435
ecs2015	ecs2015	9.305	-0.441
z2313	z2313	9.305	-0.441
ecs2016	ecs2016	9.052	0.094
z2312	z2312	9.052	0.094
ecs2018	ecs2018	8.929	0.210
z2310	z2310	8.929	0.210
ecs2019	ecs2019	8.899	0.240
z2309	z2309	8.899	0.240
ecs2020	ecs2020	8.217	0.435
z2308	z2308	8.217	0.435
ecs2022	ecs2022		
ecs2026	ecs2026		
ecs2028	ecs2028		
ecs2030	ecs2030		
ecs2032	ecs2032	9.198	-0.025
z2291	z2291	9.198	-0.025
ecs2033	ecs2033	9.153	0.312
c1852	c1852	9.153	0.312
z2290	z2290	9.153	0.312
b1428	b1428	9.153	0.312
ecs2038	ecs2038	8.855	0.287
c1857	c1857	8.855	0.287
b1433	b1433	8.855	0.287
z2286	z2286	8.855	0.287
ecs2039	ecs2039	9.953	-0.361
b1435	b1435	9.953	-0.361
c1859	c1859	9.953	-0.361
z2284	z2284	9.953	-0.361
ecs2040	ecs2040	9.569	0.636
z2283	z2283	9.569	0.636
b1436	b1436	9.569	0.636
c1860	c1860	9.569	0.636
ecs2041	ecs2041		
ecs2045	ecs2045	9.179	0.132
z2278	z2278	9.179	0.132
b1441	b1441	9.179	0.132
ecs2047	ecs2047	7.891	-0.013
b1443	b1443	7.891	-0.013
c1867	c1867	7.891	-0.013
ecs2052	ecs2052	9.919	0.192
b1448	b1448	9.919	0.192
c1873	c1873	9.919	0.192
z2271	z2271	9.919	0.192
ecs2055	ecs2055	7.904	0.276
z2268	z2268	7.904	0.276
ecs2057	ecs2057	8.731	0.077
b1453	b1453	8.731	0.077
z2266	z2266	8.731	0.077
c1878	c1878	8.731	0.077
ecs2059	ecs2059	8.614	0.170
b1455	b1455	8.614	0.170
z2264	z2264	8.614	0.170
ecs2061	ecs2061		
ecs2066	ecs2066	9.454	0.369
b1463	b1463	9.454	0.369
c1895	c1895	9.454	0.369
ecs2070	ecs2070	8.699	0.067
b1467	b1467	8.699	0.067
z2245	z2245	8.699	0.067
ecs2073	ecs2073	9.144	0.127
b1470	b1470	9.144	0.127
z2242	z2242	9.144	0.127
ecs2074	ecs2074		
ecs2075	ecs2075		
ecs2076	ecs2076	9.201	0.265
b1472	b1472	9.201	0.265
z2239	z2239	9.201	0.265
ecs2078	ecs2078		
ecs2081	ecs2081	10.250	0.053
z2233	z2233	10.250	0.053
ecs2083	ecs2083	9.993	0.366
z2231	z2231	9.993	0.366
b1479	b1479	9.993	0.366
c1912	c1912	9.993	0.366
ecs2086	ecs2086	10.122	0.822
c1916	c1916	10.122	0.822
b1482	b1482	10.122	0.822
z2228	z2228	10.122	0.822
ecs2088	ecs2088	9.308	0.187
z2226	z2226	9.308	0.187
b1484	b1484	9.308	0.187
ecs2092	ecs2092	9.319	0.154
z2222	z2222	9.319	0.154
b1488	b1488	9.319	0.154
ecs2096	ecs2096	8.334	0.019
b1491	b1491	8.334	0.019
c1920	c1920	8.334	0.019
z2217	z2217	8.334	0.019
ecs2098	ecs2098	10.750	2.121
c1922	c1922	10.750	2.121
z2215	z2215	10.750	2.121
b1493	b1493	10.750	2.121
ecs2100	ecs2100	9.609	0.053
c1924	c1924	9.609	0.053
z2213	z2213	9.609	0.053
b1495	b1495	9.609	0.053
ecs2101	ecs2101	9.269	0.183
z2212	z2212	9.269	0.183
b1496	b1496	9.269	0.183
c1925	c1925	9.269	0.183
ecs2103	ecs2103	9.212	0.100
b1498	b1498	9.212	0.100
c1927	c1927	9.212	0.100
z2210	z2210	9.212	0.100
ecs2104	ecs2104	9.757	0.104
c1928	c1928	9.757	0.104
z2209	z2209	9.757	0.104
b1499	b1499	9.757	0.104
ecs2106	ecs2106	9.211	-0.002
b1501	b1501	9.211	-0.002
c1930	c1930	9.211	-0.002
z2207	z2207	9.211	-0.002
ecs2109	ecs2109	9.603	-0.385
z2204	z2204	9.603	-0.385
c1933	c1933	9.603	-0.385
b1504	b1504	9.603	-0.385
ecs2113	ecs2113	11.490	-0.110
c1936	c1936	11.490	-0.110
z2200	z2200	11.490	-0.110
ecs2114	ecs2114	8.540	0.014
z2199	z2199	8.540	0.014
b1506	b1506	8.540	0.014
ecs2115	ecs2115	6.266	0.195
ecs2116	ecs2116		
ecs2117	ecs2117		
ecs2119	ecs2119	8.916	-0.123
z2193	z2193	8.916	-0.123
b1512	b1512	8.916	-0.123
ecs2120	ecs2120	9.067	0.367
b1513	b1513	9.067	0.367
z2192	z2192	9.067	0.367
ecs2122	ecs2122	9.025	0.102
b1515	b1515	9.025	0.102
z2190	z2190	9.025	0.102
ecs2123	ecs2123	8.649	0.124
b1516	b1516	8.649	0.124
z2189	z2189	8.649	0.124
ecs2126	ecs2126	9.306	0.304
z2186	z2186	9.306	0.304
b1519	b1519	9.306	0.304
ecs2129	ecs2129	8.961	0.094
b1522	b1522	8.961	0.094
ecs2133	ecs2133	8.670	0.411
c1949	c1949	8.670	0.411
z2177	z2177	8.670	0.411
b1526	b1526	8.670	0.411
ecs2134	ecs2134		
ecs2138	ecs2138	11.121	2.204
b1531	b1531	11.121	2.204
z2170	z2170	11.121	2.204
c1953	c1953	11.121	2.204
ecs2139	ecs2139	10.407	2.425
z2169	z2169	10.407	2.425
ecs2142	ecs2142	9.185	0.231
ecs2144	ecs2144	9.404	0.418
b1535	b1535	9.404	0.418
z2163	z2163	9.404	0.418
c1963	c1963	9.404	0.418
ecs2146	ecs2146	9.053	0.105
z2161	z2161	9.053	0.105
b1537	b1537	9.053	0.105
ecs2147	ecs2147	9.889	0.764
z2160	z2160	9.889	0.764
b1538	b1538	9.889	0.764
ecs2150	ecs2150	10.309	-1.097
b1541	b1541	10.309	-1.097
z2156	z2156	10.309	-1.097
c1967	c1967	10.309	-1.097
ecs2152	ecs2152		
ecs2153	ecs2153		
ecs2155	ecs2155	9.255	0.052
z2150	z2150	9.255	0.052
ecs2156	ecs2156		
ecs2157	ecs2157	9.136	0.291
ecs2159	ecs2159		
ecs2160	ecs2160		
ecs2161	ecs2161		
ecs2162	ecs2162		
ecs2163	ecs2163	10.788	-0.256
ecs2164	ecs2164	8.560	0.228
z2142	z2142	8.560	0.228
ecs2165	ecs2165		
ecs2166	ecs2166	7.773	0.063
ecs2167	ecs2167	8.704	-0.030
ecs2168	ecs2168		
ecs2169	ecs2169		
ecs2170	ecs2170	8.214	0.096
c1455	c1455	8.214	0.096
ecs2172	ecs2172		
ecs2173	ecs2173		
ecs2174	ecs2174		
ecs2175	ecs2175		
ecs2176	ecs2176		
ecs2177	ecs2177		
ecs2178	ecs2178		
ecs2179	ecs2179		
ecs2180	ecs2180	8.317	0.165
ecs2181	ecs2181	9.222	-0.287
z2366	z2366	9.222	-0.287
ecs2182	ecs2182		
ecs2183	ecs2183	8.754	0.281
ecs2184	ecs2184		
ecs2185	ecs2185		
ecs2186	ecs2186		
ecs2187	ecs2187		
ecs2188	ecs2188		
ecs2189	ecs2189		
ecs2190	ecs2190	10.052	0.165
ecs2192	ecs2192	10.201	-0.032
z2103	z2103	10.201	-0.032
ecs2193	ecs2193		
ecs2195	ecs2195		
ecs2196	ecs2196	7.181	-0.241
ecs2197	ecs2197		
ecs2198	ecs2198	10.249	-0.374
ecs2200	ecs2200	8.876	0.303
ecs2201	ecs2201	9.070	-0.096
z2097	z2097	9.070	-0.096
ecs2202	ecs2202	9.020	0.131
ecs2203	ecs2203	7.392	-0.089
ecs2204	ecs2204		
ecs2205	ecs2205	8.542	-0.122
z2094	z2094	8.542	-0.122
ecs2206	ecs2206		
ecs2209	ecs2209	8.540	-0.183
ecs2211	ecs2211	8.145	0.289
z2088	z2088	8.145	0.289
ecs2212	ecs2212	7.492	0.139
ecs2213	ecs2213	7.362	0.299
ecs2215	ecs2215	10.252	0.108
ecs2216	ecs2216	7.576	0.034
z2085	z2085	7.576	0.034
ecs2217	ecs2217	8.450	0.130
z2084	z2084	8.450	0.130
ecs2218	ecs2218		
ecs2219	ecs2219		
ecs2220	ecs2220		
ecs2221	ecs2221		
ecs2222	ecs2222		
ecs2223	ecs2223		
ecs2224	ecs2224		
ecs2226	ecs2226	7.571	0.008
ecs2227	ecs2227	7.657	0.184
ecs2230	ecs2230		
ecs2231	ecs2231		
ecs2232	ecs2232		
ecs2236	ecs2236		
ecs2237	ecs2237		
ecs2238	ecs2238		
ecs2239	ecs2239		
ecs2240	ecs2240		
ecs2241	ecs2241		
ecs2242	ecs2242		
ecs2243	ecs2243		
ecs2244	ecs2244		
ecs2245	ecs2245		
ecs2246	ecs2246		
ecs2247	ecs2247		
ecs2248	ecs2248		
ecs2250	ecs2250		
ecs2251	ecs2251		
ecs2252	ecs2252		
ecs2253	ecs2253	10.697	0.022
ecs2254	ecs2254		
ecs2255	ecs2255		
ecs2257	ecs2257		
ecs2258	ecs2258		
ecs2259	ecs2259		
ecs2260	ecs2260		
ecs2261	ecs2261		
ecs2262	ecs2262		
ecs2263	ecs2263		
ecs2264	ecs2264		
ecs2265	ecs2265		
ecs2267	ecs2267		
ecs2269	ecs2269		
ecs2270	ecs2270	9.887	-0.055
ecs2271	ecs2271		
ecs2272	ecs2272	9.536	0.257
z6065	z6065	9.536	0.257
ecs2274	ecs2274	9.370	0.163
z6067	z6067	9.370	0.163
ecs2275	ecs2275	8.832	0.070
z6069	z6069	8.832	0.070
ecs2276	ecs2276	9.387	0.107
z6070	z6070	9.387	0.107
ecs2278	ecs2278	9.088	0.157
z6072	z6072	9.088	0.157
ecs2280	ecs2280	10.854	-0.221
z6074	z6074	10.854	-0.221
ecs2281	ecs2281	10.679	-0.265
ecs2282	ecs2282	9.858	-0.131
ecs2283	ecs2283		
ecs2284	ecs2284		
ecs2285	ecs2285		
ecs2286	ecs2286		
ecs2287	ecs2287	8.673	0.186
z6081	z6081	8.673	0.186
ecs2296	ecs2296	10.006	-0.860
z2579	z2579	10.006	-0.860
b1590	b1590	10.006	-0.860
c1981	c1981	10.006	-0.860
ecs2298	ecs2298	9.345	0.097
c1983	c1983	9.345	0.097
b1592	b1592	9.345	0.097
z2583	z2583	9.345	0.097
ecs2303	ecs2303	9.240	0.042
z2591	z2591	9.240	0.042
c1988	c1988	9.240	0.042
b1597	b1597	9.240	0.042
ecs2304	ecs2304	9.812	0.253
c1990	c1990	9.812	0.253
z2592	z2592	9.812	0.253
ecs2328	ecs2328	9.750	0.028
c2012	c2012	9.750	0.028
b1620	b1620	9.750	0.028
z2625	z2625	9.750	0.028
ecs2336	ecs2336	8.969	0.078
c2019	c2019	8.969	0.078
b1627	b1627	8.969	0.078
z2633	z2633	8.969	0.078
ecs2340	ecs2340	9.087	-0.087
c2023	c2023	9.087	-0.087
b1631	b1631	9.087	-0.087
z2640	z2640	9.087	-0.087
ecs2342	ecs2342	8.861	-0.018
z2644	z2644	8.861	-0.018
b1633	b1633	8.861	-0.018
c2025	c2025	8.861	-0.018
ecs2348	ecs2348	8.848	0.246
b1639	b1639	8.848	0.246
z2653	z2653	8.848	0.246
c2031	c2031	8.848	0.246
ecs2360	ecs2360	11.024	1.023
c2044	c2044	11.024	1.023
b1651	b1651	11.024	1.023
z2669	z2669	11.024	1.023
ecs2361	ecs2361	9.336	-0.144
c2045	c2045	9.336	-0.144
b1652	b1652	9.336	-0.144
z2671	z2671	9.336	-0.144
ecs2367	ecs2367	9.784	-0.609
z2681	z2681	9.784	-0.609
b1658	b1658	9.784	-0.609
c2052	c2052	9.784	-0.609
ecs2373	ecs2373	9.546	0.097
z2691	z2691	9.546	0.097
b1664	b1664	9.546	0.097
c2058	c2058	9.546	0.097
ecs2376	ecs2376	8.889	0.065
c2062	c2062	8.889	0.065
z2696	z2696	8.889	0.065
b1669	b1669	8.889	0.065
ecs2378	ecs2378	8.345	0.099
b1671	b1671	8.345	0.099
z2698	z2698	8.345	0.099
c2065	c2065	8.345	0.099
ecs2379	ecs2379	9.074	0.098
b1672	b1672	9.074	0.098
z2700	z2700	9.074	0.098
c2066	c2066	9.074	0.098
ecs2381	ecs2381	9.015	0.307
b1674	b1674	9.015	0.307
z2702	z2702	9.015	0.307
c2068	c2068	9.015	0.307
ecs2384	ecs2384	12.027	-0.451
c2072	c2072	12.027	-0.451
z2705	z2705	12.027	-0.451
b1677	b1677	12.027	-0.451
ecs2387	ecs2387	8.328	0.288
b1680	b1680	8.328	0.288
z2708	z2708	8.328	0.288
ecs2388	ecs2388	8.907	0.465
b1681	b1681	8.907	0.465
z2709	z2709	8.907	0.465
c2076	c2076	8.907	0.465
ecs2392	ecs2392	9.602	0.442
b1685	b1685	9.602	0.442
c2080	c2080	9.602	0.442
z2713	z2713	9.602	0.442
ecs2394	ecs2394	8.932	0.370
b1687	b1687	8.932	0.370
z2715	z2715	8.932	0.370
ecs2396	ecs2396	9.310	0.123
b1689	b1689	9.310	0.123
z2717	z2717	9.310	0.123
c2084	c2084	9.310	0.123
ecs2401	ecs2401	7.773	0.269
z2722	z2722	7.773	0.269
ecs2410	ecs2410	10.239	0.234
b1703	b1703	10.239	0.234
z2732	z2732	10.239	0.234
c2099	c2099	10.239	0.234
ecs2417	ecs2417	9.808	-0.086
z2739	z2739	9.808	-0.086
c2106	c2106	9.808	-0.086
b1710	b1710	9.808	-0.086
ecs2427	ecs2427		
ecs2429	ecs2429	10.310	0.868
b1723	b1723	10.310	0.868
z2752	z2752	10.310	0.868
c2121	c2121	10.310	0.868
ecs2434	ecs2434	8.120	0.132
b1728	b1728	8.120	0.132
z2757	z2757	8.120	0.132
c2127	c2127	8.120	0.132
ecs2435	ecs2435	10.024	1.469
c2128	c2128	10.024	1.469
z2758	z2758	10.024	1.469
b1729	b1729	10.024	1.469
ecs2440	ecs2440	9.192	0.297
z2764	z2764	9.192	0.297
c2133	c2133	9.192	0.297
ecs2444	ecs2444	9.392	0.056
b1738	b1738	9.392	0.056
z2768	z2768	9.392	0.056
c2137	c2137	9.392	0.056
ecs2450	ecs2450	9.022	0.291
c2144	c2144	9.022	0.291
z2776	z2776	9.022	0.291
b1744	b1744	9.022	0.291
ecs2452	ecs2452	9.458	0.078
z2778	z2778	9.458	0.078
ecs2455	ecs2455	9.348	0.108
z2781	z2781	9.348	0.108
c2150	c2150	9.348	0.108
ecs2457	ecs2457	9.615	-0.210
c2152	c2152	9.615	-0.210
b1751	b1751	9.615	-0.210
z2783	z2783	9.615	-0.210
ecs2462	ecs2462	9.417	0.201
b1756	b1756	9.417	0.201
z2788	z2788	9.417	0.201
ecs2463	ecs2463	9.305	-1.146
b1757	b1757	9.305	-1.146
z2789	z2789	9.305	-1.146
ecs2466	ecs2466	7.718	0.541
c2161	c2161	7.718	0.541
z2792	z2792	7.718	0.541
b1760	b1760	7.718	0.541
ecs2467	ecs2467	9.639	0.632
b1761	b1761	9.639	0.632
z2793	z2793	9.639	0.632
c2162	c2162	9.639	0.632
ecs2471	ecs2471	9.397	0.410
c2168	c2168	9.397	0.410
b1765	b1765	9.397	0.410
z2798	z2798	9.397	0.410
ecs2473	ecs2473	9.531	0.245
z2800	z2800	9.531	0.245
ecs2475	ecs2475	10.095	-0.047
b1768	b1768	10.095	-0.047
z2802	z2802	10.095	-0.047
c2172	c2172	10.095	-0.047
ecs2477	ecs2477		
ecs2478	ecs2478		
ecs2482	ecs2482	9.144	-0.200
c2177	c2177	9.144	-0.200
b1773	b1773	9.144	-0.200
z2811	z2811	9.144	-0.200
ecs2485	ecs2485	9.257	-0.161
c2181	c2181	9.257	-0.161
z2815	z2815	9.257	-0.161
b1776	b1776	9.257	-0.161
ecs2486	ecs2486	9.505	0.018
c2182	c2182	9.505	0.018
b1777	b1777	9.505	0.018
z2816	z2816	9.505	0.018
ecs2488	ecs2488	11.965	-0.952
c2184	c2184	11.965	-0.952
b1779	b1779	11.965	-0.952
z2818	z2818	11.965	-0.952
ecs2492	ecs2492	10.051	0.542
b1783	b1783	10.051	0.542
z2823	z2823	10.051	0.542
c2188	c2188	10.051	0.542
ecs2495	ecs2495	9.080	0.342
z2826	z2826	9.080	0.342
c2191	c2191	9.080	0.342
b1786	b1786	9.080	0.342
ecs2501	ecs2501	8.348	0.011
b1792	b1792	8.348	0.011
z2834	z2834	8.348	0.011
c2197	c2197	8.348	0.011
ecs2502	ecs2502	8.419	0.442
z2835	z2835	8.419	0.442
c2198	c2198	8.419	0.442
b1793	b1793	8.419	0.442
ecs2506	ecs2506	9.835	1.356
b1797	b1797	9.835	1.356
z2839	z2839	9.835	1.356
c2204	c2204	9.835	1.356
ecs2507	ecs2507	10.095	-0.378
b1798	b1798	10.095	-0.378
z2841	z2841	10.095	-0.378
c2205	c2205	10.095	-0.378
ecs2509	ecs2509	9.376	0.413
b1800	b1800	9.376	0.413
z2843	z2843	9.376	0.413
ecs2513	ecs2513	9.875	-0.299
c2208	c2208	9.875	-0.299
b1804	b1804	9.875	-0.299
z2847	z2847	9.875	-0.299
ecs2516	ecs2516	9.335	-0.816
z2850	z2850	9.335	-0.816
c2211	c2211	9.335	-0.816
b1807	b1807	9.335	-0.816
ecs2517	ecs2517	9.971	-0.075
z2851	z2851	9.971	-0.075
ecs2519	ecs2519	9.432	0.181
c2214	c2214	9.432	0.181
b1810	b1810	9.432	0.181
z2853	z2853	9.432	0.181
ecs2521	ecs2521	9.595	-0.227
b1812	b1812	9.595	-0.227
c2217	c2217	9.595	-0.227
z2855	z2855	9.595	-0.227
ecs2524	ecs2524	8.805	0.171
b1815	b1815	8.805	0.171
c2221	c2221	8.805	0.171
z2858	z2858	8.805	0.171
ecs2526	ecs2526	7.393	0.329
ecs2528	ecs2528	10.370	-1.936
z2861	z2861	10.370	-1.936
c2224	c2224	10.370	-1.936
b1818	b1818	10.370	-1.936
ecs2532	ecs2532	9.499	-0.187
b1822	b1822	9.499	-0.187
z2866	z2866	9.499	-0.187
c2229	c2229	9.499	-0.187
ecs2538	ecs2538	8.973	0.239
c2237	c2237	8.973	0.239
z2875	z2875	8.973	0.239
b1828	b1828	8.973	0.239
ecs2539	ecs2539	10.075	1.345
b1829	b1829	10.075	1.345
z2876	z2876	10.075	1.345
c2238	c2238	10.075	1.345
ecs2545	ecs2545	9.978	-0.027
b1835	b1835	9.978	-0.027
z2882	z2882	9.978	-0.027
c2244	c2244	9.978	-0.027
ecs2553	ecs2553	8.446	-0.191
b1843	b1843	8.446	-0.191
c2253	c2253	8.446	-0.191
z2893	z2893	8.446	-0.191
ecs2555	ecs2555		
ecs2557	ecs2557	9.840	0.107
z2899	z2899	9.840	0.107
b1847	b1847	9.840	0.107
c2259	c2259	9.840	0.107
ecs2562	ecs2562	10.872	0.706
c2265	c2265	10.872	0.706
b1852	b1852	10.872	0.706
z2904	z2904	10.872	0.706
ecs2564	ecs2564	10.357	-0.775
c2268	c2268	10.357	-0.775
z2906	z2906	10.357	-0.775
b1854	b1854	10.357	-0.775
ecs2565	ecs2565	9.849	-0.349
b1855	b1855	9.849	-0.349
z2907	z2907	9.849	-0.349
c2269	c2269	9.849	-0.349
ecs2566	ecs2566	9.330	-0.383
c2270	c2270	9.330	-0.383
b1856	b1856	9.330	-0.383
z2908	z2908	9.330	-0.383
ecs2572	ecs2572	8.903	0.029
b1862	b1862	8.903	0.029
z2914	z2914	8.903	0.029
ecs2576	ecs2576	11.001	-0.740
b1866	b1866	11.001	-0.740
c2280	c2280	11.001	-0.740
z2919	z2919	11.001	-0.740
ecs2578	ecs2578	9.232	0.207
z2921	z2921	9.232	0.207
c2282	c2282	9.232	0.207
b1868	b1868	9.232	0.207
ecs2583	ecs2583	9.379	0.357
z2926	z2926	9.379	0.357
c2287	c2287	9.379	0.357
b1873	b1873	9.379	0.357
ecs2586	ecs2586	11.245	-0.802
b1876	b1876	11.245	-0.802
z2929	z2929	11.245	-0.802
ecs2588	ecs2588	8.005	0.146
z2931	z2931	8.005	0.146
b1878	b1878	8.005	0.146
ecs2595	ecs2595	9.494	0.677
z2939	z2939	9.494	0.677
