GSE15533	Sakai chlorine / control...	0.828
b0344	b0344	9.980	0.127
ecs0397	ecs0397	9.980	0.127
z0440	z0440	9.980	0.127
b0349	b0349	8.766	0.237
z0447	z0447	8.766	0.237
ecs0404	ecs0404	8.766	0.237
b0352	b0352	9.164	0.147
ecs0407	ecs0407	9.164	0.147
z0452	z0452	9.164	0.147
b0358	b0358	-0.502	-1.305
c0467	c0467	-0.502	-1.305
b0360	b0360	9.735	0.210
b0362	b0362	-2.292	-0.492
b0363	b0363	-0.949	-0.742
b0364	b0364	2.170	-1.792
b0367	b0367	8.771	1.057
ecs0421	ecs0421	8.771	1.057
c0475	c0475	8.771	1.057
z0466	z0466	8.771	1.057
b0368	b0368	9.644	1.051
z0467	z0467	9.644	1.051
c0476	c0476	9.644	1.051
ecs0422	ecs0422	9.644	1.051
b0369	b0369	10.586	0.621
c0477	c0477	10.586	0.621
ecs0423	ecs0423	10.586	0.621
z0468	z0468	10.586	0.621
b0370	b0370	-0.596	-1.105
b0371	b0371	1.453	-0.436
b0374	b0374	-0.776	-0.718
b4580	b4580	-0.776	-0.718
b0376	b0376	9.242	-0.227
z0472	z0472	9.242	-0.227
ecs0426	ecs0426	9.242	-0.227
c0480	c0480	9.242	-0.227
b0378	b0378	-0.189	-0.754
c0483	c0483	-0.189	-0.754
b0389	b0389	9.335	0.096
z0485	z0485	9.335	0.096
ecs0439	ecs0439	9.335	0.096
c0496	c0496	9.335	0.096
b0390	b0390	9.192	0.246
ecs0440	ecs0440	9.192	0.246
z0486	z0486	9.192	0.246
c0498	c0498	9.192	0.246
b0391	b0391	10.033	0.788
ecs0441	ecs0441	10.033	0.788
c0499	c0499	10.033	0.788
z0487	z0487	10.033	0.788
b0397	b0397	2.252	-1.511
b0399	b0399	8.734	1.021
c0508	c0508	8.734	1.021
ecs0449	ecs0449	8.734	1.021
z0497	z0497	8.734	1.021
b0401	b0401	10.121	-0.143
ecs0451	ecs0451	10.121	-0.143
c0511	c0511	10.121	-0.143
z0499	z0499	10.121	-0.143
b0403	b0403	1.815	-3.344
b0404	b0404	8.657	0.056
z0503	z0503	8.657	0.056
ecs0455	ecs0455	8.657	0.056
b0405	b0405	10.380	-0.532
ecs0456	ecs0456	10.380	-0.532
c0515	c0515	10.380	-0.532
z0504	z0504	10.380	-0.532
b0414	b0414	2.919	-0.407
b0419	b0419	5.351	-0.689
b0420	b0420	4.365	-0.530
b0422	b0422	10.111	-0.404
ecs0476	ecs0476	10.111	-0.404
c0533	c0533	10.111	-0.404
z0525	z0525	10.111	-0.404
b0425	b0425	9.781	0.158
ecs0479	ecs0479	9.781	0.158
z0528	z0528	9.781	0.158
c0536	c0536	9.781	0.158
b0427	b0427	9.439	0.202
z0530	z0530	9.439	0.202
ecs0481	ecs0481	9.439	0.202
c0538	c0538	9.439	0.202
b0429	b0429	9.352	0.200
z0532	z0532	9.352	0.200
c0540	c0540	9.352	0.200
ecs0483	ecs0483	9.352	0.200
b0435	b0435	9.214	0.668
c0548	c0548	9.214	0.668
ecs0489	ecs0489	9.214	0.668
z0539	z0539	9.214	0.668
b0438	b0438	10.911	0.359
c0554	c0554	10.911	0.359
z0543	z0543	10.911	0.359
ecs0492	ecs0492	10.911	0.359
b0445	b0445	8.602	0.075
ecs0499	ecs0499	8.602	0.075
z0552	z0552	8.602	0.075
b0448	b0448	8.808	-0.268
ecs0502	ecs0502	8.808	-0.268
z0557	z0557	8.808	-0.268
b0450	b0450	9.366	0.350
ecs0504	ecs0504	9.366	0.350
z0562	z0562	9.366	0.350
c0568	c0568	9.366	0.350
b0456	b0456	9.332	0.242
c0574	c0574	9.332	0.242
z0568	z0568	9.332	0.242
ecs0509	ecs0509	9.332	0.242
b0466	b0466	5.042	-1.429
c0585	c0585	5.042	-1.429
b0467	b0467	9.130	0.362
b0472	b0472	10.483	-0.578
z0589	z0589	10.483	-0.578
ecs0525	ecs0525	10.483	-0.578
c0592	c0592	10.483	-0.578
b0475	b0475	9.492	0.191
ecs0528	ecs0528	9.492	0.191
c0595	c0595	9.492	0.191
z0592	z0592	9.492	0.191
b0478	b0478	9.711	0.108
z0597	z0597	9.711	0.108
ecs0531	ecs0531	9.711	0.108
b0479	b0479	8.893	0.245
z0598	z0598	8.893	0.245
ecs0532	ecs0532	8.893	0.245
c0599	c0599	8.893	0.245
b0482	b0482	9.328	-0.313
z0601	z0601	9.328	-0.313
ecs0535	ecs0535	9.328	-0.313
c0602	c0602	9.328	-0.313
b0484	b0484	1.121	-2.393
b0487	b0487	2.874	-1.865
b0490	b0490	9.689	0.067
ecs0553	ecs0553	9.689	0.067
c0611	c0611	9.689	0.067
z0643	z0643	9.689	0.067
b0493	b0493	10.202	0.256
ecs0556	ecs0556	10.202	0.256
c0614	c0614	10.202	0.256
z0646	z0646	10.202	0.256
b0494	b0494	10.122	0.349
ecs0558	ecs0558	10.122	0.349
c0615	c0615	10.122	0.349
z0647	z0647	10.122	0.349
b0496	b0496	8.469	0.217
z0649	z0649	8.469	0.217
ecs0559	ecs0559	8.469	0.217
b0497	b0497	1.865	-0.489
b0498	b0498	0.875	-1.156
b0499	b0499	9.541	0.092
b0502	b0502	9.686	0.203
ecs0563	ecs0563	9.686	0.203
z0656	z0656	9.686	0.203
b0503	b0503	8.560	-0.110
ecs0564	ecs0564	8.560	-0.110
z0657	z0657	8.560	-0.110
b0507	b0507	4.192	-0.622
b0508	b0508	9.153	0.318
z0662	z0662	9.153	0.318
c0623	c0623	9.153	0.318
ecs0569	ecs0569	9.153	0.318
b0509	b0509	1.948	0.232
b0510	b0510	8.573	-0.028
b0516	b0516	0.409	-3.224
b0518	b0518	4.046	-0.538
b0528	b0528	10.007	-0.221
c0644	c0644	10.007	-0.221
z0683	z0683	10.007	-0.221
ecs0590	ecs0590	10.007	-0.221
b0532	b0532	8.762	0.197
ecs0594	ecs0594	8.762	0.197
z0689	z0689	8.762	0.197
b0533	b0533	9.377	0.371
ecs0595	ecs0595	9.377	0.371
z0690	z0690	9.377	0.371
b0538	b0538	0.243	-0.472
b0539	b0539	11.005	-0.103
b0542	b0542	7.622	-0.357
b0543	b0543	8.457	-0.140
b0544	b0544	9.573	0.113
b0545	b0545	1.214	-3.353
b0546	b0546	1.915	0.182
b0547	b0547	-0.288	-0.274
b0548	b0548	9.855	0.169
b0549	b0549	9.542	-0.073
b0551	b0551	3.065	-1.373
b0553	b0553	3.264	-0.460
b0554	b0554	-4.308	-0.691
b0555	b0555	-1.601	-0.637
b0558	b0558	8.761	0.142
b0559	b0559	9.504	0.122
b0560	b0560	10.074	0.327
b0561	b0561	10.038	0.101
b0562	b0562	10.796	0.029
b0563	b0563	8.309	0.056
b0564	b0564	0.918	-2.341
b0565	b0565	11.265	-1.089
b0570	b0570	4.099	0.230
c0656	c0656	4.099	0.230
b0572	b0572	9.243	0.153
ecs0610	ecs0610	9.243	0.153
c0658	c0658	9.243	0.153
z0711	z0711	9.243	0.153
b0573	b0573	0.954	1.127
b0576	b0576	1.566	0.186
b0583	b0583	-1.122	-0.771
b0585	b0585	9.568	0.116
z0725	z0725	9.568	0.116
ecs0624	ecs0624	9.568	0.116
b0586	b0586	0.458	-0.573
b0594	b0594	-0.394	0.036
b0595	b0595	9.767	0.137
c0682	c0682	9.767	0.137
z0737	z0737	9.767	0.137
ecs0634	ecs0634	9.767	0.137
b0598	b0598	9.408	0.219
z0740	z0740	9.408	0.219
ecs0637	ecs0637	9.408	0.219
c0685	c0685	9.408	0.219
b0600	b0600	8.726	0.073
z0743	z0743	8.726	0.073
ecs0639	ecs0639	8.726	0.073
b0607	b0607	9.205	-0.105
z0751	z0751	9.205	-0.105
ecs0646	ecs0646	9.205	-0.105
b0613	b0613	8.986	0.255
c0701	c0701	8.986	0.255
z0757	z0757	8.986	0.255
ecs0652	ecs0652	8.986	0.255
b0614	b0614	9.050	0.249
z0758	z0758	9.050	0.249
ecs0653	ecs0653	9.050	0.249
c0702	c0702	9.050	0.249
b0619	b0619	8.832	0.069
ecs0658	ecs0658	8.832	0.069
z0764	z0764	8.832	0.069
b0625	b0625	9.113	0.545
b0626	b0626	8.365	0.447
b4581	b4581	8.365	0.447
b0627	b0627	11.025	-1.017
c0717	c0717	11.025	-1.017
ecs0665	ecs0665	11.025	-1.017
z0772	z0772	11.025	-1.017
b0634	b0634	9.404	-0.189
z0780	z0780	9.404	-0.189
ecs0672	ecs0672	9.404	-0.189
b0637	b0637	10.335	-0.056
c0728	c0728	10.335	-0.056
